               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027876,            0.027172,           0.0019271,             0.78313,             0.83197,             0.86423,              0.6483,            0.024285,            0.015074,           0.0012134,           0.0096634,           0.0096634,           0.0096634
                  36,            0.027662,            0.026868,            0.002114,             0.73984,             0.84565,             0.84381,             0.64832,            0.023346,             0.01535,           0.0010637,           0.0096535,           0.0096535,           0.0096535
                  37,            0.027793,            0.026903,           0.0019591,             0.80479,             0.81729,             0.85969,             0.65033,            0.023653,             0.01515,           0.0012869,           0.0096436,           0.0096436,           0.0096436
                  38,            0.027753,            0.025989,           0.0019733,              0.8234,             0.80688,             0.86551,             0.66091,            0.023603,            0.015179,           0.0011817,           0.0096337,           0.0096337,           0.0096337
                  39,            0.027695,            0.026842,            0.002015,             0.80676,             0.82597,             0.86676,             0.66126,            0.023674,            0.014943,           0.0010913,           0.0096238,           0.0096238,           0.0096238
                  40,            0.027382,             0.02595,           0.0020416,             0.81735,             0.83209,               0.872,             0.66961,            0.023121,            0.014756,           0.0010405,           0.0096139,           0.0096139,           0.0096139
                  41,            0.026764,            0.025839,            0.002087,             0.79552,             0.81886,             0.85633,             0.65727,            0.023563,            0.015298,          0.00094634,            0.009604,            0.009604,            0.009604
                  42,            0.027394,            0.025999,           0.0022159,             0.81089,             0.83745,             0.86867,             0.67007,            0.022744,            0.014973,           0.0012014,           0.0095941,           0.0095941,           0.0095941
                  43,            0.026606,            0.025954,           0.0019516,             0.80295,             0.81652,             0.86569,             0.67259,            0.023805,            0.015082,           0.0015761,           0.0095842,           0.0095842,           0.0095842
                  44,            0.027205,            0.025413,           0.0021484,             0.80822,             0.82264,             0.87095,             0.66735,             0.02251,             0.01524,           0.0012429,           0.0095743,           0.0095743,           0.0095743
                  45,            0.027294,            0.025745,           0.0019582,             0.80163,             0.83417,             0.86514,             0.66422,            0.023001,             0.01513,           0.0012781,           0.0095644,           0.0095644,           0.0095644
                  46,            0.026761,            0.025398,           0.0019007,             0.80433,             0.85029,             0.87072,             0.67454,            0.022766,            0.014966,            0.001043,           0.0095545,           0.0095545,           0.0095545
                  47,            0.026605,            0.025275,           0.0017797,             0.84928,             0.82643,             0.88486,             0.68615,            0.022394,            0.014973,           0.0011685,           0.0095446,           0.0095446,           0.0095446
                  48,            0.026367,            0.025371,           0.0019008,             0.83383,             0.82355,             0.87642,               0.675,            0.023068,            0.014746,           0.0012083,           0.0095347,           0.0095347,           0.0095347
